Table 8,,,,,,,,,,,
WISCONSIN,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2018",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Adams,"1,852",7,0,4,1,2,77,6,69,2,1
Albany,999,2,0,0,0,2,6,2,4,0,0
Algoma,"3,071",1,0,1,0,0,23,4,19,0,0
Altoona2,"7,827",12,0,8,1,3,105,23,78,4,0
Amery,"2,809",26,0,4,0,22,34,4,29,1,0
Antigo,"7,720",25,0,1,0,24,351,29,307,15,0
Appleton,"74,931",165,0,26,23,116,"1,151",131,973,47,5
Arcadia,"3,065",0,0,0,0,0,6,1,5,0,0
Ashland,"7,770",31,1,3,1,26,254,23,214,17,4
Ashwaubenon,"17,316",13,0,6,2,5,528,36,474,18,2
Athens,"1,086",0,0,0,0,0,3,0,3,0,0
Avoca,627,0,0,0,0,0,0,0,0,0,0
Bangor,"1,472",1,0,0,0,1,5,0,5,0,0
Baraboo,"12,178",24,0,15,0,9,358,35,317,6,1
Barneveld,"1,240",0,0,0,0,0,11,6,5,0,0
Barron,"3,300",0,0,0,0,0,1,1,0,0,0
Bayfield,471,2,0,0,0,2,24,11,10,3,0
Bayside,"4,375",0,0,0,0,0,19,2,14,3,0
Beaver Dam2,"16,394",25,0,11,4,10,239,21,210,8,0
Beaver Dam Township,"3,912",0,0,0,0,0,2,0,2,0,0
Belleville,"2,432",0,0,0,0,0,13,2,10,1,0
Beloit,"36,746",171,1,38,41,91,979,125,815,39,9
Beloit Town,"7,688",7,0,1,1,5,103,25,70,8,0
Berlin,"5,365",3,0,0,0,3,72,7,61,4,0
Big Bend,"1,395",3,0,1,0,2,22,2,19,1,0
Birchwood,428,1,0,0,0,1,10,1,9,0,0
Black River Falls,"3,488",6,0,3,1,2,115,11,97,7,0
Blair,"1,365",0,0,0,0,0,6,1,5,0,0
Blanchardville,795,0,0,0,0,0,3,0,2,1,0
Bloomer,"3,491",2,0,0,0,2,27,3,21,3,0
Bloomfield,"6,323",11,0,3,0,8,50,11,37,2,1
Boscobel,"3,104",10,0,2,0,8,17,4,13,0,0
Boyceville,"1,098",4,0,2,0,2,6,1,5,0,0
Brandon-Fairwater,"1,208",0,0,0,0,0,1,0,1,0,0
Brillion,"3,116",4,0,0,1,3,11,0,11,0,0
Brodhead,"3,247",3,0,0,0,3,58,3,52,3,0
Brookfield,"38,065",28,1,1,20,6,815,62,734,19,0
Brookfield Township,"6,295",10,1,1,4,4,110,6,102,2,0
Brooklyn2,"1,464",0,0,0,0,0,20,1,19,0,0
Brown Deer,"11,963",51,0,2,6,43,548,34,440,74,2
Brownsville,573,0,0,0,0,0,9,3,6,0,0
Burlington2,"11,039",15,0,2,0,13,108,13,92,3,2
Butler,"1,812",9,0,2,1,6,82,1,70,11,0
Caledonia,"25,047",21,0,0,3,18,151,37,110,4,1
Campbellsport,"1,963",0,0,0,0,0,12,2,10,0,0
